variant,seed,target_tokens,actual_tokens,needle_frac,gold,layer,head,gold_span_start,gold_span_end,needle_span_start,needle_span_end,n_distractor_spans,gold_mass,gold_max,gold_rank,needle_mass,distractor_mass,argmax_token_index,argmax_in_gold,argmax_in_needle
literal,1234,16384,16384,0.5,915965,20,7,8149,8155,8138,8162,1,0.0004246234893798828,0.00014495849609375,59,0.003895372152328491,0.008609771728515625,16383,0,0
literal,1234,16384,16384,0.5,915965,21,11,8149,8155,8138,8162,1,0.4638671875,0.11669921875,1,0.6167793273925781,0.066253662109375,8152,1,1
literal,1234,16384,16384,0.5,915965,22,7,8149,8155,8138,8162,1,0.3699455261230469,0.365234375,1,0.8020992279052734,0.018247783184051514,8149,1,1
literal,1234,16384,16384,0.5,915965,18,3,8149,8155,8138,8162,1,0.0054187774658203125,0.00182342529296875,50,0.12492549419403076,0.0355224609375,0,0,0
literal,1234,16384,16384,0.5,915965,17,10,8149,8155,8138,8162,1,0.0010485649108886719,0.0002899169921875,85,0.0968470573425293,0.0103759765625,0,0,0
literal,1234,16384,16384,0.5,915965,20,8,8149,8155,8138,8162,1,0.00016126036643981934,4.57763671875e-05,55,0.0013926960527896881,0.004108428955078125,16382,0,0
literal,1234,16384,16384,0.5,915965,22,0,8149,8155,8138,8162,1,6.2575563788414e-06,4.6193599700927734e-06,533,0.00017750170081853867,4.700571298599243e-05,16383,0,0
literal,1234,16384,16384,0.5,915965,22,4,8149,8155,8138,8162,1,0.0003612637519836426,0.00010585784912109375,47,0.01816210150718689,0.0015276670455932617,16376,0,0
literal,1234,16384,16384,0.5,915965,21,0,8149,8155,8138,8162,1,0.011501312255859375,0.0029754638671875,8,0.03509259223937988,0.0034656524658203125,0,0,0
literal,1234,16384,16384,0.5,915965,20,6,8149,8155,8138,8162,1,0.0004475116729736328,0.0001373291015625,71,0.13007497787475586,0.0008039474487304688,0,0,0
literal,1234,16384,16384,0.5,915965,20,9,8149,8155,8138,8162,1,0.008371353149414062,0.0023651123046875,13,0.012357084080576897,0.019901275634765625,16382,0,0
literal,1234,16384,16384,0.5,915965,21,3,8149,8155,8138,8162,1,8.541345596313477e-05,3.814697265625e-05,137,0.006185054779052734,0.0017294883728027344,0,0,0
literal,1234,16384,16384,0.5,915965,21,1,8149,8155,8138,8162,1,0.0004533529281616211,0.00017642974853515625,89,0.10234963893890381,0.0016355514526367188,0,0,0
literal,1234,16384,16384,0.5,915965,21,4,8149,8155,8138,8162,1,0.002727031707763672,0.0010223388671875,37,0.03083708882331848,0.0056591033935546875,16382,0,0
literal,1234,16384,16384,0.5,915965,21,5,8149,8155,8138,8162,1,0.0065479278564453125,0.00193023681640625,40,0.09476757049560547,0.0011849403381347656,0,0,0
literal,1234,16384,16384,0.5,915965,17,3,8149,8155,8138,8162,1,0.0006966590881347656,0.0001773834228515625,70,0.01821732521057129,0.009521484375,16383,0,0
literal,1234,16384,16384,0.5,915965,22,10,8149,8155,8138,8162,1,0.10760498046875,0.03759765625,10,0.5923644304275513,0.0032815933227539062,8156,0,1
literal,1234,16384,16384,0.5,915965,23,4,8149,8155,8138,8162,1,0.03466033935546875,0.0257568359375,11,0.27907586097717285,0.012478113174438477,0,0,0
literal,1234,16384,16384,0.5,915965,20,3,8149,8155,8138,8162,1,0.0006501674652099609,0.000301361083984375,52,0.03354281187057495,0.0013560652732849121,16371,0,0
literal,1235,16384,16384,0.5,822782,20,7,8233,8239,8222,8246,1,0.0006649494171142578,0.0002574920654296875,46,0.00434345006942749,0.0075225830078125,16383,0,0
literal,1235,16384,16384,0.5,822782,21,11,8233,8239,8222,8246,1,0.491943359375,0.150390625,1,0.6400375366210938,0.0474395751953125,8234,1,1
literal,1235,16384,16384,0.5,822782,22,7,8233,8239,8222,8246,1,0.3551846742630005,0.3515625,1,0.8998280763626099,0.012516781687736511,8233,1,1
literal,1235,16384,16384,0.5,822782,18,3,8233,8239,8222,8246,1,0.007014274597167969,0.0022125244140625,51,0.17011594772338867,0.0254058837890625,0,0,0
literal,1235,16384,16384,0.5,822782,17,10,8233,8239,8222,8246,1,0.001323699951171875,0.0003032684326171875,85,0.12154388427734375,0.0118560791015625,0,0,0
literal,1235,16384,16384,0.5,822782,20,8,8233,8239,8222,8246,1,0.0013277530670166016,0.000637054443359375,28,0.0031985193490982056,0.0022993087768554688,16382,0,0
literal,1235,16384,16384,0.5,822782,22,0,8233,8239,8222,8246,1,2.5063054636120796e-05,1.4126300811767578e-05,179,0.00014092330820858479,4.533305764198303e-05,16383,0,0
literal,1235,16384,16384,0.5,822782,22,4,8233,8239,8222,8246,1,0.0020503997802734375,0.0006866455078125,21,0.02533358335494995,0.0012383460998535156,16376,0,0
literal,1235,16384,16384,0.5,822782,21,0,8233,8239,8222,8246,1,0.00736236572265625,0.002166748046875,13,0.021715104579925537,0.003082275390625,0,0,0
literal,1235,16384,16384,0.5,822782,20,6,8233,8239,8222,8246,1,0.0006033778190612793,0.0002079010009765625,69,0.07393306493759155,0.0008294582366943359,0,0,0
literal,1235,16384,16384,0.5,822782,20,9,8233,8239,8222,8246,1,0.008686065673828125,0.0028533935546875,10,0.01158332359045744,0.01107025146484375,16382,0,0
literal,1235,16384,16384,0.5,822782,21,3,8233,8239,8222,8246,1,0.00040730834007263184,0.000202178955078125,63,0.012047693133354187,0.0015501976013183594,0,0,0
literal,1235,16384,16384,0.5,822782,21,1,8233,8239,8222,8246,1,0.0007550716400146484,0.000240325927734375,76,0.0989987850189209,0.0017991065979003906,0,0,0
literal,1235,16384,16384,0.5,822782,21,4,8233,8239,8222,8246,1,0.0038585662841796875,0.002716064453125,28,0.056832313537597656,0.0045642852783203125,16382,0,0
literal,1235,16384,16384,0.5,822782,21,5,8233,8239,8222,8246,1,0.004627227783203125,0.0023956298828125,35,0.09331083297729492,0.0008597373962402344,0,0,0
literal,1235,16384,16384,0.5,822782,17,3,8233,8239,8222,8246,1,0.0012145042419433594,0.0003185272216796875,62,0.024432659149169922,0.00978851318359375,16383,0,0
literal,1235,16384,16384,0.5,822782,22,10,8233,8239,8222,8246,1,0.0583648681640625,0.0238037109375,15,0.5031027793884277,0.00244903564453125,8239,0,1
literal,1235,16384,16384,0.5,822782,23,4,8233,8239,8222,8246,1,0.013764381408691406,0.00958251953125,16,0.20571857690811157,0.015520095825195312,19,0,0
literal,1235,16384,16384,0.5,822782,20,3,8233,8239,8222,8246,1,0.00218963623046875,0.00099945068359375,38,0.050305843353271484,0.0016170740127563477,16371,0,0
literal,1236,16384,16384,0.5,659279,20,7,8167,8173,8156,8180,1,0.0003070831298828125,0.00012159347534179688,70,0.0036378800868988037,0.007869720458984375,16383,0,0
literal,1236,16384,16384,0.5,659279,21,11,8167,8173,8156,8180,1,0.502197265625,0.1259765625,1,0.6284980773925781,0.070343017578125,8170,1,1
literal,1236,16384,16384,0.5,659279,22,7,8167,8173,8156,8180,1,0.7169594764709473,0.70703125,1,0.9113357067108154,0.021618425846099854,8167,1,1
literal,1236,16384,16384,0.5,659279,18,3,8167,8173,8156,8180,1,0.0094451904296875,0.0024871826171875,42,0.16923153400421143,0.03720855712890625,0,0,0
literal,1236,16384,16384,0.5,659279,17,10,8167,8173,8156,8180,1,0.0009741783142089844,0.000270843505859375,84,0.08919095993041992,0.0113525390625,0,0,0
literal,1236,16384,16384,0.5,659279,20,8,8167,8173,8156,8180,1,0.0008533596992492676,0.0003833770751953125,35,0.0032608583569526672,0.0029616355895996094,16382,0,0
literal,1236,16384,16384,0.5,659279,22,0,8167,8173,8156,8180,1,6.914138793945312e-05,2.491474151611328e-05,117,0.0003857910633087158,6.365776062011719e-05,16383,0,0
literal,1236,16384,16384,0.5,659279,22,4,8167,8173,8156,8180,1,0.0007557868957519531,0.00019073486328125,41,0.012405328452587128,0.002262115478515625,16376,0,0
literal,1236,16384,16384,0.5,659279,21,0,8167,8173,8156,8180,1,0.016962051391601562,0.0072021484375,5,0.03573644161224365,0.0045223236083984375,0,0,0
literal,1236,16384,16384,0.5,659279,20,6,8167,8173,8156,8180,1,0.00047338008880615234,0.0001621246337890625,73,0.09826552867889404,0.0005631446838378906,0,0,0
literal,1236,16384,16384,0.5,659279,20,9,8167,8173,8156,8180,1,0.00984954833984375,0.0035247802734375,9,0.012409592978656292,0.011960983276367188,16382,0,0
literal,1236,16384,16384,0.5,659279,21,3,8167,8173,8156,8180,1,5.689263343811035e-05,2.5987625122070312e-05,225,0.006028175354003906,0.0016689300537109375,0,0,0
literal,1236,16384,16384,0.5,659279,21,1,8167,8173,8156,8180,1,0.0009717941284179688,0.00042724609375,73,0.09836292266845703,0.0019123554229736328,0,0,0
literal,1236,16384,16384,0.5,659279,21,4,8167,8173,8156,8180,1,0.006015777587890625,0.0030975341796875,23,0.038819506764411926,0.0056915283203125,16382,0,0
literal,1236,16384,16384,0.5,659279,21,5,8167,8173,8156,8180,1,0.0051937103271484375,0.00142669677734375,42,0.06460380554199219,0.0013152360916137695,0,0,0
literal,1236,16384,16384,0.5,659279,17,3,8167,8173,8156,8180,1,0.0007328987121582031,0.0002040863037109375,65,0.017015457153320312,0.008892059326171875,16383,0,0
literal,1236,16384,16384,0.5,659279,22,10,8167,8173,8156,8180,1,0.170318603515625,0.06787109375,4,0.5830071568489075,0.003056049346923828,8174,0,1
literal,1236,16384,16384,0.5,659279,23,4,8167,8173,8156,8180,1,0.02042865753173828,0.017333984375,13,0.20716583728790283,0.013787388801574707,0,0,0
literal,1236,16384,16384,0.5,659279,20,3,8167,8173,8156,8180,1,0.0028868913650512695,0.0014801025390625,32,0.04983401298522949,0.0008196830749511719,16383,0,0
