variant,seed,target_tokens,actual_tokens,needle_frac,gold,layer,head,baseline_logprob,ablated_logprob,delta_logprob
literal,1234,8192,8191,0.1,915965,21,11,-2.0839297771453857,-2.2091742356618247,-0.12524445851643895
literal,1234,8192,8191,0.1,915965,0,8,-2.0839297771453857,-2.094247023264567,-0.010317246119181167
literal,1234,8192,8191,0.1,915965,22,7,-2.0839297771453857,-2.146477699279785,-0.06254792213439941
literal,1234,8192,8191,0.1,915965,21,9,-2.0839297771453857,-2.0110495885213218,0.07288018862406398
literal,1234,8192,8191,0.1,915965,20,2,-2.0839297771453857,-2.0630711714426675,0.020858605702718247
literal,1234,8192,8191,0.1,915965,20,9,-2.0839297771453857,-2.1360127131144204,-0.05208293596903468
literal,1234,8192,8191,0.1,915965,17,3,-2.0839297771453857,-2.0421458085378013,0.04178396860758449
literal,1234,8192,8191,0.1,915965,20,3,-2.0839297771453857,-2.115187406539917,-0.03125762939453125
literal,1234,8192,8191,0.1,915965,19,1,-2.0839297771453857,-2.063074509302775,0.020855267842610825
literal,1234,8192,8191,0.1,915965,18,3,-2.0839297771453857,-2.1985607941945395,-0.1146310170491538
literal,1234,8192,8191,0.1,915965,20,5,-2.0839297771453857,-2.0943159262339273,-0.010386149088541519
literal,1234,8192,8191,0.1,915965,22,10,-2.0839297771453857,-2.115183115005493,-0.03125333786010742
literal,1234,8192,8191,0.1,915965,0,11,-2.0839297771453857,-2.0631585915883384,0.020771185557047378
literal,1234,8192,8191,0.1,915965,23,4,-2.0839297771453857,-2.146418889363607,-0.06248911221822118
literal,1234,8192,8191,0.1,915965,0,2,-2.0839297771453857,-2.073490301767985,0.010439475377400864
literal,1234,8192,8191,0.1,915965,0,6,-2.0839297771453857,-2.104540745417277,-0.020610968271891128
literal,1234,8192,8191,0.1,915965,0,7,-2.0839297771453857,-2.0839452743530273,-1.5497207641601562e-05
literal,1234,8192,8191,0.1,915965,0,10,-2.0839297771453857,-2.042062203089396,0.04186757405598973
literal,1234,8192,8191,0.1,915965,0,0,-2.0839297771453857,-2.052742878595988,0.031186898549397934
literal,1234,8192,8191,0.1,915965,0,3,-2.0839297771453857,-2.1151225566864014,-0.031192779541015625
literal,1234,8192,8191,0.1,915965,0,1,-2.0839297771453857,-2.0734800497690835,0.010449727376302231
literal,1234,8192,8191,0.1,915965,0,4,-2.0839297771453857,-2.1151623725891113,-0.031232595443725586
literal,1234,8192,8191,0.1,915965,20,11,-2.0839297771453857,-2.0214229424794516,0.0625068346659341
